condition,t,x,y,z,outside_obs1,outside_obs2,safe
pdstl_nominal,0.0001,0.0,-1.5,0.2,1,1,1
pdstl_nominal,0.7472,-0.216549,-1.259833,0.2,1,1,1
pdstl_nominal,1.4217,-0.379066,-1.023143,0.2,1,1,1
pdstl_nominal,1.996,-0.446258,-0.795889,0.2,1,1,1
pdstl_nominal,2.5337,-0.395331,-0.583166,0.2,1,1,1
pdstl_nominal,3.1458,-0.233426,-0.385135,0.2,1,1,1
pdstl_nominal,3.8709,0.002609,-0.180403,0.2,1,1,1
pdstl_nominal,4.6987,0.244408,0.091364,0.2,1,1,1
pdstl_nominal,5.4331,0.389425,0.37331,0.2,1,1,1
pdstl_nominal,6.1215,0.489,0.65,0.2,1,1,1
