condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic,0.0002,0.038349,-1.511411,0.222527,1,1,1,1
deterministic,0.1004,0.027791,-1.510781,0.226085,1,1,1,1
deterministic,0.2004,0.004197,-1.50649,0.224816,1,1,1,1
deterministic,0.3005,-0.004195,-1.503309,0.226327,1,1,1,1
deterministic,0.4006,0.015277,-1.500194,0.230183,1,1,1,1
deterministic,0.5009,0.00812,-1.497357,0.236195,1,1,1,1
deterministic,0.601,0.01187,-1.489392,0.242393,1,1,1,1
deterministic,0.7012,-0.009926,-1.474895,0.245848,1,1,1,1
deterministic,0.8013,-0.029718,-1.444593,0.243841,1,1,1,1
deterministic,0.9014,-0.068685,-1.406313,0.238122,1,1,1,1
deterministic,1.0017,-0.111773,-1.365385,0.230902,1,1,1,1
deterministic,1.1018,-0.167097,-1.326455,0.226014,1,1,1,1
deterministic,1.2019,-0.202244,-1.297379,0.222822,1,1,1,1
deterministic,1.3021,-0.218537,-1.278582,0.222766,1,1,1,1
deterministic,1.4021,-0.232417,-1.261193,0.226138,1,1,1,1
deterministic,1.5022,-0.245831,-1.237521,0.23069,1,1,1,1
deterministic,1.6023,-0.265447,-1.206596,0.237166,1,1,1,1
deterministic,1.7024,-0.298741,-1.171502,0.244876,1,1,1,1
deterministic,1.8025,-0.324884,-1.131542,0.246014,1,1,1,1
deterministic,1.9026,-0.329195,-1.090641,0.242275,1,1,1,1
deterministic,2.0027,-0.363247,-1.049938,0.239835,1,1,1,1
deterministic,2.1028,-0.382145,-1.009392,0.236589,1,1,1,1
deterministic,2.2029,-0.405313,-0.963814,0.22933,1,1,1,1
deterministic,2.3029,-0.432027,-0.921093,0.229104,1,1,1,1
deterministic,2.403,-0.450701,-0.883946,0.233532,1,1,1,1
deterministic,2.5033,-0.461805,-0.852401,0.235292,1,1,1,1
deterministic,2.6034,-0.471177,-0.823862,0.234777,1,1,1,1
deterministic,2.7034,-0.470255,-0.792792,0.235923,1,1,1,1
deterministic,2.8035,-0.465701,-0.75749,0.237695,1,1,1,1
deterministic,2.9036,-0.461219,-0.716054,0.237688,1,1,1,1
deterministic,3.0037,-0.449425,-0.66258,0.236454,1,1,1,1
deterministic,3.1038,-0.43605,-0.606698,0.228274,1,1,1,1
deterministic,3.2039,-0.418383,-0.558192,0.219577,1,1,1,1
deterministic,3.304,-0.394805,-0.516363,0.217845,1,1,1,1
deterministic,3.4041,-0.352049,-0.481139,0.225548,1,1,1,1
deterministic,3.5042,-0.299288,-0.452099,0.23861,1,1,1,1
deterministic,3.6042,-0.247453,-0.425134,0.247303,1,1,1,1
deterministic,3.7043,-0.202389,-0.394002,0.247739,1,1,1,1
deterministic,3.8044,-0.169691,-0.358772,0.238838,1,1,1,1
deterministic,3.9045,-0.153702,-0.32531,0.228375,1,1,1,1
deterministic,4.0045,-0.132297,-0.293234,0.221679,1,1,1,1
deterministic,4.1048,-0.113847,-0.257331,0.221316,1,1,1,1
deterministic,4.2049,-0.100225,-0.217549,0.22881,1,1,1,1
deterministic,4.3049,-0.073723,-0.215198,0.276469,1,1,1,1
deterministic,4.405,-0.046584,-0.188261,0.306138,1,1,1,1
deterministic,4.5051,-0.017386,-0.157655,0.325319,1,1,1,1
deterministic,4.6052,0.018405,-0.142555,0.312135,1,1,1,1
deterministic,4.7052,0.051202,-0.11849,0.297372,1,1,1,1
deterministic,4.8053,0.085095,-0.090196,0.280122,1,1,1,1
deterministic,4.9054,0.110946,-0.062017,0.267536,1,1,1,1
deterministic,5.0055,0.132224,-0.034582,0.25471,1,1,1,1
deterministic,5.1056,0.13603,-0.007288,0.23897,1,1,1,1
deterministic,5.2056,0.136876,0.024694,0.21992,1,1,1,1
deterministic,5.3057,0.103956,0.054355,0.209502,1,1,1,1
deterministic,5.4058,0.08059,0.088056,0.204522,1,1,1,1
deterministic,5.506,0.068187,0.112979,0.193138,1,1,1,1
deterministic,5.6061,0.073441,0.148224,0.187033,1,1,1,1
deterministic,5.7061,0.099585,0.190272,0.181654,1,1,1,1
deterministic,5.8062,0.140683,0.240541,0.1796,1,1,1,1
deterministic,5.9063,0.187051,0.297307,0.183992,1,1,1,1
deterministic,6.0063,0.227056,0.353345,0.196966,1,1,1,1
deterministic,6.1064,0.255124,0.411685,0.223632,1,1,1,1
deterministic,6.2065,0.273157,0.478882,0.268006,1,1,1,1
deterministic,6.3066,0.288026,0.557356,0.327157,1,1,1,1
deterministic,6.4066,0.305765,0.636856,0.385879,1,1,1,1
deterministic,6.5067,0.363498,0.487225,0.072721,1,1,1,1
deterministic,6.6068,0.400459,0.487784,0.009239,1,1,1,1
deterministic,6.7069,0.41979,0.48548,0.021062,1,1,1,1
deterministic,6.807,0.41161,0.493293,0.075929,1,1,1,1
deterministic,6.907,0.398365,0.517687,0.135687,1,1,1,1
deterministic,7.0071,0.390015,0.57705,0.222804,1,1,1,1
deterministic,7.1072,0.401328,0.646864,0.319173,1,1,1,1
deterministic,7.2072,0.434467,0.70373,0.406832,1,1,1,1
deterministic,7.3073,0.471243,0.734499,0.484032,1,1,1,1
deterministic,7.4074,0.520869,0.744572,0.544109,1,1,1,1
deterministic,7.5074,0.559844,0.727002,0.586778,1,1,1,1
deterministic,7.6075,0.59511,0.694986,0.613813,1,1,1,1
deterministic,7.7076,0.621433,0.658001,0.626974,1,1,1,1
deterministic,7.8077,0.610035,0.6375,0.62509,1,1,1,1
deterministic,7.9077,0.594082,0.635308,0.627139,1,1,1,1
deterministic,8.0078,0.572928,0.65873,0.644745,1,1,1,1
deterministic,8.1079,0.559562,0.686306,0.662947,1,1,1,1
deterministic,8.208,0.554138,0.712463,0.684274,1,1,1,1
deterministic,8.308,0.537629,0.727807,0.706029,1,1,1,1
deterministic,8.4081,0.553212,0.731483,0.725211,1,1,1,1
deterministic,8.5082,0.535117,0.720864,0.729083,1,1,1,1
deterministic,8.6083,0.551221,0.697737,0.717925,1,1,1,1
deterministic,8.7083,0.562678,0.677425,0.706162,1,1,1,1
deterministic,8.8084,0.571562,0.664858,0.694967,1,1,1,1
deterministic,8.9085,0.574856,0.665279,0.692338,1,1,1,1
deterministic,9.0086,0.590126,0.664389,0.68665,1,1,1,1
deterministic,9.1086,0.571429,0.664412,0.684965,1,1,1,1
deterministic,9.2087,0.552708,0.663153,0.689797,1,1,1,1
deterministic,9.3088,0.537147,0.656538,0.69716,1,1,1,1
deterministic,9.4089,0.500514,0.637385,0.700043,1,1,1,1
deterministic,9.509,0.486024,0.60989,0.70224,1,1,1,1
deterministic,9.6094,0.485054,0.571711,0.697541,1,1,1,1
deterministic,9.7095,0.514055,0.530952,0.699622,1,1,1,1
deterministic,9.8095,0.515129,0.479613,0.694064,1,1,1,1
deterministic,9.9096,0.51578,0.430176,0.691458,1,1,1,1
deterministic,10.0099,0.512093,0.379392,0.690046,1,1,1,1
deterministic,10.11,0.462232,0.348655,0.654156,1,1,1,1
deterministic,10.2101,0.4372,0.311879,0.647898,1,1,1,1
deterministic,10.3101,0.421442,0.26204,0.65836,1,1,1,1
deterministic,10.4102,0.41641,0.189365,0.680893,1,1,1,1
