condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic,0.0016,0.041304,-1.636287,0.030092,1,1,1,1
deterministic,0.1021,0.032785,-1.636266,0.029943,1,1,1,1
deterministic,0.2029,0.038226,-1.635718,0.030605,1,1,1,1
deterministic,0.3032,0.042691,-1.634201,0.031373,1,1,1,1
deterministic,0.4033,0.038225,-1.632131,0.031784,1,1,1,1
deterministic,0.5035,0.044108,-1.633898,0.03074,1,1,1,1
deterministic,0.6038,0.042075,-1.635757,0.031405,1,1,1,1
deterministic,0.7039,0.035257,-1.635514,0.031731,1,1,1,1
deterministic,0.8041,0.043385,-1.63429,0.033383,1,1,1,1
deterministic,0.9043,0.03409,-1.632559,0.032267,1,1,1,1
deterministic,1.0044,0.043469,-1.633593,0.031487,1,1,1,1
deterministic,1.1045,0.03893,-1.633878,0.03122,1,1,1,1
deterministic,1.2052,0.043336,-1.632891,0.031479,1,1,1,1
deterministic,1.3053,0.042403,-1.63341,0.031368,1,1,1,1
deterministic,1.4054,0.043501,-1.632949,0.031545,1,1,1,1
deterministic,1.5056,0.033951,-1.631584,0.031415,1,1,1,1
deterministic,1.6057,0.02969,-1.629327,0.032548,1,1,1,1
deterministic,1.7057,0.043001,-1.629092,0.032106,1,1,1,1
deterministic,1.8058,0.039113,-1.624712,0.032178,1,1,1,1
deterministic,1.9059,0.035083,-1.617001,0.035389,1,1,1,1
deterministic,2.006,0.046173,-1.608134,0.036954,1,1,1,1
deterministic,2.1061,0.049892,-1.59309,0.042598,1,1,1,1
deterministic,2.2062,0.057624,-1.574462,0.051807,1,1,1,1
deterministic,2.3063,0.061412,-1.556619,0.061584,1,1,1,1
deterministic,2.4067,0.067841,-1.535617,0.076916,1,1,1,1
deterministic,2.5069,0.059841,-1.514567,0.082057,1,1,1,1
deterministic,2.6071,0.054859,-1.498882,0.087999,1,1,1,1
deterministic,2.7072,0.054667,-1.484458,0.093535,1,1,1,1
deterministic,2.8073,0.053109,-1.47464,0.096893,1,1,1,1
deterministic,2.9074,0.046496,-1.46776,0.099917,1,1,1,1
deterministic,3.0077,0.038305,-1.465307,0.105078,1,1,1,1
deterministic,3.1079,0.037427,-1.467415,0.11218,1,1,1,1
deterministic,3.2083,0.035985,-1.473071,0.120373,1,1,1,1
deterministic,3.3084,0.055662,-1.482589,0.128449,1,1,1,1
deterministic,3.4085,0.058304,-1.493529,0.136295,1,1,1,1
deterministic,3.5086,0.050697,-1.501135,0.141488,1,1,1,1
deterministic,3.6086,0.038645,-1.50086,0.1444,1,1,1,1
deterministic,3.7087,0.020534,-1.490164,0.147371,1,1,1,1
deterministic,3.8088,-0.014527,-1.465453,0.154046,1,1,1,1
deterministic,3.9089,-0.060341,-1.429982,0.159004,1,1,1,1
deterministic,4.009,-0.121352,-1.367249,0.137015,1,1,1,1
deterministic,4.109,-0.151875,-1.321583,0.136751,1,1,1,1
deterministic,4.2091,-0.183245,-1.284888,0.139747,1,1,1,1
deterministic,4.3092,-0.193355,-1.261435,0.135937,1,1,1,1
deterministic,4.4095,-0.204247,-1.243953,0.137794,1,1,1,1
deterministic,4.5095,-0.221903,-1.257765,0.189615,1,1,1,1
deterministic,4.6096,-0.235633,-1.239707,0.210073,1,1,1,1
deterministic,4.7097,-0.26579,-1.207397,0.221926,1,1,1,1
deterministic,4.8098,-0.308315,-1.165545,0.227007,1,1,1,1
deterministic,4.91,-0.326013,-1.118369,0.226904,1,1,1,1
deterministic,5.0103,-0.364663,-1.064085,0.217623,1,1,1,1
deterministic,5.1104,-0.404799,-1.01784,0.218726,1,1,1,1
deterministic,5.2105,-0.429324,-0.975691,0.219304,1,1,1,1
deterministic,5.3106,-0.443426,-0.936748,0.218164,1,1,1,1
deterministic,5.4108,-0.461308,-0.898754,0.217986,1,1,1,1
deterministic,5.5109,-0.491606,-0.871831,0.236576,1,1,1,1
deterministic,5.611,-0.498187,-0.84716,0.234794,1,1,1,1
deterministic,5.7114,-0.508331,-0.815827,0.234216,1,1,1,1
deterministic,5.8118,-0.500546,-0.77286,0.232459,1,1,1,1
deterministic,5.9122,-0.490341,-0.721998,0.233695,1,1,1,1
deterministic,6.0124,-0.476086,-0.668402,0.237053,1,1,1,1
deterministic,6.1128,-0.467204,-0.591906,0.216598,1,1,1,1
deterministic,6.2129,-0.448069,-0.54198,0.216176,1,1,1,1
deterministic,6.313,-0.419678,-0.509584,0.215545,1,1,1,1
deterministic,6.4132,-0.384919,-0.473817,0.218398,1,1,1,1
deterministic,6.5133,-0.345637,-0.434499,0.219145,1,1,1,1
deterministic,6.6136,-0.305607,-0.401393,0.222753,1,1,1,1
deterministic,6.7138,-0.269307,-0.373454,0.229695,1,1,1,1
deterministic,6.814,-0.234602,-0.354091,0.237808,1,1,1,1
deterministic,6.9142,-0.202137,-0.338506,0.249376,1,1,1,1
deterministic,7.0143,-0.16933,-0.31585,0.259318,1,1,1,1
deterministic,7.1144,-0.129348,-0.27776,0.265966,1,1,1,1
deterministic,7.2145,-0.084703,-0.224337,0.270902,1,1,1,1
deterministic,7.3147,-0.03571,-0.168222,0.272242,1,1,1,1
deterministic,7.4149,0.00784,-0.120696,0.273659,1,1,1,1
deterministic,7.5151,0.049359,-0.093435,0.266683,1,1,1,1
deterministic,7.6153,0.069182,-0.084557,0.256312,1,1,1,1
deterministic,7.7154,0.084627,-0.081506,0.244876,1,1,1,1
deterministic,7.8157,0.085336,-0.078182,0.241363,1,1,1,1
deterministic,7.9158,0.092661,-0.058052,0.246895,1,1,1,1
deterministic,8.0159,0.104538,-0.017597,0.254917,1,1,1,1
deterministic,8.116,0.127643,0.040592,0.259292,1,1,1,1
