condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic,0.0002,0.018813,-1.514768,0.218955,1,1,1,1
deterministic,0.1003,0.007435,-1.514015,0.219878,1,1,1,1
deterministic,0.2004,0.011177,-1.512879,0.220731,1,1,1,1
deterministic,0.3005,0.023661,-1.511321,0.221869,1,1,1,1
deterministic,0.4006,0.029945,-1.512304,0.224914,1,1,1,1
deterministic,0.5007,0.01806,-1.512988,0.231446,1,1,1,1
deterministic,0.601,-0.000679,-1.508851,0.2367,1,1,1,1
deterministic,0.7013,-0.015065,-1.490951,0.240408,1,1,1,1
deterministic,0.8014,-0.046987,-1.460509,0.239469,1,1,1,1
deterministic,0.9017,-0.086712,-1.419002,0.237329,1,1,1,1
deterministic,1.0018,-0.113524,-1.375139,0.232866,1,1,1,1
deterministic,1.1019,-0.160577,-1.329515,0.231298,1,1,1,1
deterministic,1.202,-0.176102,-1.293866,0.227889,1,1,1,1
deterministic,1.302,-0.193415,-1.268372,0.22748,1,1,1,1
deterministic,1.4021,-0.207252,-1.251257,0.232655,1,1,1,1
deterministic,1.5022,-0.232173,-1.2337,0.24024,1,1,1,1
deterministic,1.6023,-0.255628,-1.209711,0.244886,1,1,1,1
deterministic,1.7023,-0.291635,-1.175497,0.248317,1,1,1,1
deterministic,1.8024,-0.324125,-1.137021,0.245519,1,1,1,1
deterministic,1.9025,-0.369126,-1.097542,0.241464,1,1,1,1
deterministic,2.0026,-0.394193,-1.060823,0.23478,1,1,1,1
deterministic,2.1027,-0.422536,-1.022853,0.230739,1,1,1,1
deterministic,2.2029,-0.438442,-0.982304,0.229309,1,1,1,1
deterministic,2.3032,-0.448735,-0.938576,0.229705,1,1,1,1
deterministic,2.4033,-0.44859,-0.895548,0.227894,1,1,1,1
deterministic,2.5035,-0.456616,-0.856901,0.228681,1,1,1,1
deterministic,2.6035,-0.468198,-0.828951,0.240929,1,1,1,1
deterministic,2.7036,-0.481481,-0.794196,0.248611,1,1,1,1
deterministic,2.8037,-0.485728,-0.753675,0.245146,1,1,1,1
deterministic,2.9037,-0.486675,-0.707518,0.240177,1,1,1,1
deterministic,3.0039,-0.482963,-0.661336,0.237106,1,1,1,1
deterministic,3.1039,-0.469614,-0.614523,0.234109,1,1,1,1
deterministic,3.204,-0.444416,-0.571715,0.235512,1,1,1,1
deterministic,3.3041,-0.415458,-0.539711,0.239916,1,1,1,1
deterministic,3.4042,-0.372641,-0.498592,0.242226,1,1,1,1
deterministic,3.5043,-0.325228,-0.452137,0.239058,1,1,1,1
deterministic,3.6043,-0.273864,-0.396322,0.238454,1,1,1,1
deterministic,3.7044,-0.226648,-0.352896,0.235973,1,1,1,1
deterministic,3.8045,-0.176523,-0.32743,0.242077,1,1,1,1
deterministic,3.9046,-0.130443,-0.318321,0.257806,1,1,1,1
deterministic,4.0047,-0.090089,-0.312115,0.270461,1,1,1,1
deterministic,4.1048,-0.055641,-0.304371,0.281311,1,1,1,1
deterministic,4.2048,-0.025798,-0.284594,0.287135,1,1,1,1
deterministic,4.3049,0.00321,-0.249151,0.288959,1,1,1,1
deterministic,4.405,0.042126,-0.207059,0.285777,1,1,1,1
deterministic,4.5051,0.064208,-0.166599,0.283085,1,1,1,1
deterministic,4.6052,0.07504,-0.143829,0.279952,1,1,1,1
