condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
deterministic,0.0013,0.034955,-1.670211,0.033607,1,1,1,1
deterministic,0.1016,0.036858,-1.670535,0.033493,1,1,1,1
deterministic,0.2017,0.034426,-1.670828,0.033608,1,1,1,1
deterministic,0.3018,0.034727,-1.66999,0.034264,1,1,1,1
deterministic,0.402,0.036454,-1.670286,0.034341,1,1,1,1
deterministic,0.5022,0.037577,-1.670349,0.03432,1,1,1,1
deterministic,0.6023,0.034959,-1.669937,0.03451,1,1,1,1
deterministic,0.7025,0.034959,-1.669937,0.03451,1,1,1,1
deterministic,0.8026,0.040341,-1.667819,0.034561,1,1,1,1
deterministic,0.9028,0.040319,-1.667683,0.034366,1,1,1,1
deterministic,1.0029,0.040273,-1.668855,0.036125,1,1,1,1
deterministic,1.1029,0.040002,-1.672381,0.042251,1,1,1,1
deterministic,1.2032,0.038897,-1.681103,0.057332,1,1,1,1
deterministic,1.3033,0.041299,-1.693413,0.079584,1,1,1,1
deterministic,1.4034,0.03259,-1.69608,0.087459,1,1,1,1
deterministic,1.5036,0.024985,-1.697244,0.095212,1,1,1,1
deterministic,1.6037,0.01863,-1.696646,0.103757,1,1,1,1
deterministic,1.7038,0.038369,-1.649211,0.045479,1,1,1,1
deterministic,1.8038,0.048193,-1.657138,0.036898,1,1,1,1
deterministic,1.9039,0.042707,-1.645078,0.043514,1,1,1,1
deterministic,2.004,0.031051,-1.625673,0.049397,1,1,1,1
deterministic,2.1041,0.010806,-1.596524,0.057054,1,1,1,1
deterministic,2.2042,-0.01578,-1.564134,0.063277,1,1,1,1
deterministic,2.3045,-0.03576,-1.531953,0.070956,1,1,1,1
deterministic,2.4046,-0.041222,-1.503416,0.079359,1,1,1,1
deterministic,2.5047,-0.034842,-1.482663,0.087993,1,1,1,1
deterministic,2.6048,-0.018289,-1.470767,0.095288,1,1,1,1
deterministic,2.7049,0.000569,-1.465164,0.10127,1,1,1,1
deterministic,2.805,0.022932,-1.467441,0.108786,1,1,1,1
deterministic,2.9052,0.033139,-1.474554,0.115927,1,1,1,1
deterministic,3.0053,0.023808,-1.480899,0.117721,1,1,1,1
deterministic,3.1055,0.02035,-1.484477,0.118486,1,1,1,1
deterministic,3.2056,0.013464,-1.478069,0.123771,1,1,1,1
deterministic,3.3057,0.01238,-1.471662,0.127016,1,1,1,1
deterministic,3.4059,0.007472,-1.466402,0.132446,1,1,1,1
deterministic,3.5061,-0.008575,-1.463203,0.137049,1,1,1,1
deterministic,3.6062,0.003974,-1.458837,0.145262,1,1,1,1
deterministic,3.7063,-0.003394,-1.452543,0.152896,1,1,1,1
deterministic,3.8067,-0.039849,-1.434939,0.152981,1,1,1,1
deterministic,3.9068,-0.058787,-1.406334,0.154097,1,1,1,1
deterministic,4.0069,-0.112541,-1.368967,0.151035,1,1,1,1
deterministic,4.1071,-0.142942,-1.328498,0.153798,1,1,1,1
deterministic,4.2072,-0.175471,-1.297232,0.158044,1,1,1,1
deterministic,4.3073,-0.200071,-1.279482,0.169374,1,1,1,1
deterministic,4.4074,-0.220027,-1.264755,0.179135,1,1,1,1
deterministic,4.5075,-0.231378,-1.248958,0.18839,1,1,1,1
deterministic,4.6076,-0.242024,-1.224236,0.193456,1,1,1,1
deterministic,4.7077,-0.260447,-1.189184,0.195315,1,1,1,1
deterministic,4.8078,-0.292007,-1.147457,0.195562,1,1,1,1
deterministic,4.9079,-0.303238,-1.104171,0.193823,1,1,1,1
deterministic,5.008,-0.327296,-1.064943,0.193984,1,1,1,1
deterministic,5.1081,-0.36068,-1.029283,0.200439,1,1,1,1
deterministic,5.2082,-0.392124,-0.990896,0.207643,1,1,1,1
deterministic,5.3083,-0.414564,-0.951665,0.207547,1,1,1,1
deterministic,5.4084,-0.432702,-0.912821,0.20783,1,1,1,1
deterministic,5.5085,-0.445643,-0.880326,0.21063,1,1,1,1
deterministic,5.6086,-0.457589,-0.850624,0.216936,1,1,1,1
deterministic,5.7087,-0.463032,-0.8175,0.221693,1,1,1,1
deterministic,5.8088,-0.465575,-0.776729,0.223574,1,1,1,1
