condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,0.0003,0.013314,-1.500961,0.215781,1,1,1,1
pdstl,0.1004,0.03148,-1.499125,0.214988,1,1,1,1
pdstl,0.2005,0.025726,-1.498256,0.215845,1,1,1,1
pdstl,0.3007,0.035318,-1.49846,0.217949,1,1,1,1
pdstl,0.4008,0.043601,-1.499353,0.221037,1,1,1,1
pdstl,0.5009,0.037674,-1.498299,0.223517,1,1,1,1
pdstl,0.601,0.019724,-1.491169,0.224277,1,1,1,1
pdstl,0.7011,-0.010414,-1.472987,0.222238,1,1,1,1
pdstl,0.8012,-0.0282,-1.441029,0.220017,1,1,1,1
pdstl,0.9013,-0.082706,-1.399163,0.216213,1,1,1,1
pdstl,1.0014,-0.104153,-1.356078,0.214469,1,1,1,1
pdstl,1.1015,-0.13547,-1.317671,0.215338,1,1,1,1
pdstl,1.2016,-0.151861,-1.291116,0.218366,1,1,1,1
pdstl,1.3016,-0.172789,-1.271418,0.223624,1,1,1,1
pdstl,1.4017,-0.189656,-1.250381,0.229346,1,1,1,1
pdstl,1.5018,-0.198868,-1.225219,0.233159,1,1,1,1
pdstl,1.6019,-0.227981,-1.189993,0.234823,1,1,1,1
pdstl,1.7019,-0.256987,-1.150554,0.2334,1,1,1,1
pdstl,1.802,-0.299074,-1.106035,0.227581,1,1,1,1
pdstl,1.9021,-0.324039,-1.071197,0.223245,1,1,1,1
pdstl,2.0022,-0.357444,-1.032528,0.220627,1,1,1,1
pdstl,2.1023,-0.375847,-0.992656,0.220695,1,1,1,1
pdstl,2.2024,-0.395096,-0.951734,0.22199,1,1,1,1
pdstl,2.3025,-0.407498,-0.910012,0.221851,1,1,1,1
pdstl,2.4026,-0.418174,-0.870947,0.226543,1,1,1,1
pdstl,2.5027,-0.419343,-0.837501,0.226695,1,1,1,1
pdstl,2.6027,-0.422234,-0.800215,0.227067,1,1,1,1
pdstl,2.7028,-0.421452,-0.756739,0.22475,1,1,1,1
pdstl,2.8029,-0.420376,-0.703396,0.219837,1,1,1,1
pdstl,2.903,-0.413686,-0.649519,0.215188,1,1,1,1
pdstl,3.0031,-0.400066,-0.601567,0.209995,1,1,1,1
pdstl,3.1031,-0.376946,-0.57469,0.206812,1,1,1,1
pdstl,3.2032,-0.342885,-0.560269,0.210176,1,1,1,1
pdstl,3.3033,-0.302242,-0.536495,0.21505,1,1,1,1
pdstl,3.4034,-0.254521,-0.491325,0.223708,1,1,1,1
pdstl,3.5035,-0.209772,-0.436339,0.227384,1,1,1,1
pdstl,3.6036,-0.170542,-0.385102,0.231093,1,1,1,1
pdstl,3.7036,-0.120524,-0.35733,0.244317,1,1,1,1
pdstl,3.8037,-0.084535,-0.342982,0.264745,1,1,1,1
pdstl,3.9038,-0.030889,-0.346279,0.282001,1,1,1,1
pdstl,4.0038,0.022853,-0.344093,0.3025,1,1,1,1
pdstl,4.1039,0.076312,-0.326616,0.309094,1,1,1,1
pdstl,4.204,0.121214,-0.294935,0.301833,1,1,1,1
pdstl,4.304,0.162318,-0.249207,0.286681,1,1,1,1
pdstl,4.4041,0.179603,-0.198917,0.264926,1,1,1,1
pdstl,4.5042,0.177484,-0.160946,0.244465,1,1,1,1
pdstl,4.6042,0.149209,-0.127879,0.23372,1,1,1,1
pdstl,4.7043,0.109178,-0.104616,0.233336,1,1,1,1
pdstl,4.8044,0.073439,-0.080694,0.244602,1,1,1,1
pdstl,4.9045,0.050475,-0.051956,0.260139,1,1,1,1
pdstl,5.0046,0.054196,-0.00953,0.279234,1,1,1,1
pdstl,5.1046,0.082197,0.039424,0.283115,1,1,1,1
pdstl,5.2047,0.112073,0.089391,0.273816,1,1,1,1
pdstl,5.3048,0.14983,0.140607,0.242341,1,1,1,1
pdstl,5.4049,0.186993,0.174219,0.199678,1,1,1,1
pdstl,5.5049,0.203163,0.139685,0.207737,1,1,1,1
pdstl,5.605,0.136137,0.206773,0.15354,1,1,1,1
pdstl,5.7051,0.109603,0.225807,0.110317,1,1,1,1
pdstl,5.8051,0.093916,0.274264,0.091817,1,1,1,1
pdstl,5.9052,0.093935,0.339888,0.093259,1,1,1,1
pdstl,6.0053,0.11722,0.409139,0.107793,1,1,1,1
pdstl,6.1053,0.154341,0.471244,0.124334,1,1,1,1
pdstl,6.2054,0.202251,0.524027,0.148785,1,1,1,1
pdstl,6.3055,0.256987,0.58105,0.200466,1,1,1,1
pdstl,6.4055,0.307265,0.61312,0.226349,1,1,1,1
pdstl,6.5056,0.356379,0.627321,0.230628,1,1,1,1
pdstl,6.6058,0.395952,0.636658,0.2295,1,1,1,1
pdstl,6.7058,0.426401,0.636399,0.224148,1,1,1,1
