condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,0.0006,0.039286,-1.499584,0.220939,1,1,1,1
pdstl,0.1007,0.028689,-1.501126,0.223197,1,1,1,1
pdstl,0.2008,0.024102,-1.502174,0.224211,1,1,1,1
pdstl,0.3009,0.019494,-1.502481,0.224584,1,1,1,1
pdstl,0.401,0.010274,-1.502263,0.224257,1,1,1,1
pdstl,0.5012,0.009949,-1.499002,0.224183,1,1,1,1
pdstl,0.6013,0.008121,-1.488988,0.223947,1,1,1,1
pdstl,0.7014,-0.008083,-1.471009,0.227295,1,1,1,1
pdstl,0.8015,-0.037937,-1.441991,0.231127,1,1,1,1
pdstl,0.9016,-0.082925,-1.39283,0.216297,1,1,1,1
pdstl,1.0017,-0.111642,-1.348514,0.210681,1,1,1,1
pdstl,1.1018,-0.146587,-1.309623,0.207886,1,1,1,1
pdstl,1.202,-0.153432,-1.283076,0.197314,1,1,1,1
pdstl,1.3021,-0.169076,-1.261007,0.1939,1,1,1,1
pdstl,1.4022,-0.195279,-1.256916,0.219232,1,1,1,1
pdstl,1.5022,-0.212644,-1.22849,0.234847,1,1,1,1
pdstl,1.6024,-0.231558,-1.191291,0.241196,1,1,1,1
pdstl,1.7024,-0.258209,-1.149056,0.244215,1,1,1,1
pdstl,1.8026,-0.286702,-1.103809,0.242033,1,1,1,1
pdstl,1.9027,-0.317905,-1.060352,0.236909,1,1,1,1
pdstl,2.0028,-0.345966,-1.019537,0.234222,1,1,1,1
pdstl,2.103,-0.350987,-0.978298,0.228905,1,1,1,1
pdstl,2.2031,-0.373003,-0.938522,0.228011,1,1,1,1
pdstl,2.3032,-0.385959,-0.90143,0.227105,1,1,1,1
pdstl,2.4033,-0.40558,-0.866483,0.226717,1,1,1,1
pdstl,2.5034,-0.421804,-0.834563,0.228523,1,1,1,1
pdstl,2.6035,-0.425528,-0.799427,0.228954,1,1,1,1
pdstl,2.7036,-0.422039,-0.752657,0.224666,1,1,1,1
pdstl,2.8037,-0.414308,-0.700537,0.221882,1,1,1,1
pdstl,2.9038,-0.391646,-0.64896,0.225136,1,1,1,1
pdstl,3.0039,-0.372637,-0.61544,0.227795,1,1,1,1
pdstl,3.104,-0.342972,-0.577857,0.216072,1,1,1,1
pdstl,3.2043,-0.309532,-0.549875,0.218302,1,1,1,1
pdstl,3.3044,-0.27142,-0.515337,0.221953,1,1,1,1
pdstl,3.4045,-0.230697,-0.48744,0.214855,1,1,1,1
pdstl,3.5046,-0.200682,-0.446548,0.217755,1,1,1,1
pdstl,3.6047,-0.17373,-0.40918,0.22817,1,1,1,1
pdstl,3.7048,-0.135739,-0.381887,0.249283,1,1,1,1
pdstl,3.8049,-0.098329,-0.358978,0.272989,1,1,1,1
pdstl,3.905,-0.055634,-0.332563,0.290731,1,1,1,1
pdstl,4.0051,-0.007906,-0.300915,0.306556,1,1,1,1
pdstl,4.1052,0.04913,-0.254751,0.315857,1,1,1,1
pdstl,4.2053,0.111223,-0.206866,0.310955,1,1,1,1
pdstl,4.3054,0.165384,-0.162568,0.289599,1,1,1,1
pdstl,4.4055,0.187542,-0.1327,0.259282,1,1,1,1
pdstl,4.5056,0.184654,-0.122649,0.224552,1,1,1,1
pdstl,4.6057,0.151653,-0.132722,0.193237,1,1,1,1
pdstl,4.7058,0.109687,-0.144734,0.177194,1,1,1,1
pdstl,4.8059,0.067169,-0.13135,0.175199,1,1,1,1
pdstl,4.9063,0.044134,-0.103623,0.18122,1,1,1,1
pdstl,5.0064,0.043698,-0.015302,0.205842,1,1,1,1
pdstl,5.1065,0.063543,0.074012,0.216214,1,1,1,1
pdstl,5.2066,0.09266,0.160207,0.229259,1,1,1,1
pdstl,5.3067,0.118291,0.223151,0.230848,1,1,1,1
pdstl,5.4068,0.139411,0.268481,0.231634,1,1,1,1
pdstl,5.5069,0.147381,0.290307,0.232113,1,1,1,1
pdstl,5.607,0.15436,0.247191,0.145188,1,1,1,1
pdstl,5.7072,0.160015,0.236022,0.106435,1,1,1,1
pdstl,5.8072,0.170693,0.248449,0.076068,1,1,1,1
pdstl,5.9073,0.186554,0.291997,0.057742,1,1,1,1
pdstl,6.0074,0.201416,0.396309,0.095582,1,1,1,1
pdstl,6.1074,0.221463,0.492414,0.132404,1,1,1,1
pdstl,6.2075,0.248737,0.577685,0.178787,1,1,1,1
pdstl,6.3076,0.281515,0.639035,0.22058,1,1,1,1
pdstl,6.4077,0.317983,0.677463,0.252104,1,1,1,1
pdstl,6.5077,0.360733,0.677634,0.246205,1,1,1,1
pdstl,6.6078,0.39614,0.665391,0.2349,1,1,1,1
pdstl,6.708,0.424293,0.64366,0.221096,1,1,1,1
pdstl,6.8081,0.440935,0.625836,0.2251,1,1,1,1
pdstl,6.9082,0.451501,0.620867,0.2574,1,1,1,1
pdstl,7.0083,0.456144,0.634963,0.320495,1,1,1,1
pdstl,7.1083,0.47011,0.673073,0.423601,1,1,1,1
pdstl,7.2084,0.474779,0.700704,0.51788,1,1,1,1
pdstl,7.3085,0.484047,0.719119,0.606011,1,1,1,1
pdstl,7.4086,0.506978,0.725075,0.668826,1,1,1,1
pdstl,7.5086,0.519328,0.715848,0.699463,1,1,1,1
pdstl,7.6087,0.543205,0.693765,0.70419,1,1,1,1
pdstl,7.7088,0.538093,0.667177,0.695119,1,1,1,1
pdstl,7.8089,0.548796,0.647769,0.689517,1,1,1,1
