condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,0.0002,0.04703,-1.531361,0.025625,1,1,1,1
pdstl,0.1004,0.046672,-1.53128,0.025636,1,1,1,1
pdstl,0.2005,0.045038,-1.531154,0.025579,1,1,1,1
pdstl,0.3006,0.05113,-1.530988,0.02557,1,1,1,1
pdstl,0.4007,0.052207,-1.530879,0.025701,1,1,1,1
pdstl,0.5008,0.05322,-1.530762,0.025956,1,1,1,1
pdstl,0.6011,0.051536,-1.5308,0.026095,1,1,1,1
pdstl,0.7012,0.051682,-1.531217,0.026374,1,1,1,1
pdstl,0.8014,0.051167,-1.530688,0.026246,1,1,1,1
pdstl,0.9015,0.050876,-1.530183,0.025998,1,1,1,1
pdstl,1.0016,0.053224,-1.530253,0.025116,1,1,1,1
pdstl,1.1017,0.05236,-1.530723,0.026447,1,1,1,1
pdstl,1.2018,0.054522,-1.530786,0.0262,1,1,1,1
pdstl,1.3019,0.05495,-1.531245,0.02769,1,1,1,1
pdstl,1.402,0.045255,-1.532151,0.030866,1,1,1,1
pdstl,1.502,0.048117,-1.529528,0.026834,1,1,1,1
pdstl,1.6021,0.060076,-1.525714,0.026822,1,1,1,1
pdstl,1.7022,0.060333,-1.523896,0.026867,1,1,1,1
pdstl,1.8023,0.059425,-1.524679,0.03024,1,1,1,1
pdstl,1.9024,0.047735,-1.526107,0.037442,1,1,1,1
pdstl,2.0025,0.058537,-1.524254,0.046352,1,1,1,1
pdstl,2.1025,0.057907,-1.521379,0.056526,1,1,1,1
pdstl,2.2026,0.053033,-1.51723,0.067598,1,1,1,1
pdstl,2.3027,0.050822,-1.512752,0.077312,1,1,1,1
pdstl,2.4028,0.068019,-1.503139,0.089147,1,1,1,1
pdstl,2.5029,0.065528,-1.496623,0.096043,1,1,1,1
pdstl,2.603,0.068084,-1.492158,0.100317,1,1,1,1
pdstl,2.7031,0.06326,-1.490805,0.104821,1,1,1,1
pdstl,2.8032,0.056561,-1.492373,0.110918,1,1,1,1
pdstl,2.9032,0.03827,-1.490011,0.107831,1,1,1,1
pdstl,3.0034,0.030943,-1.491248,0.110715,1,1,1,1
pdstl,3.1035,0.048128,-1.49226,0.119343,1,1,1,1
pdstl,3.2036,0.055436,-1.495561,0.129905,1,1,1,1
pdstl,3.3036,0.06263,-1.49882,0.141386,1,1,1,1
pdstl,3.4037,0.065178,-1.499629,0.150174,1,1,1,1
pdstl,3.5038,0.059681,-1.49897,0.156573,1,1,1,1
pdstl,3.6038,0.050645,-1.49694,0.163519,1,1,1,1
pdstl,3.7039,0.011282,-1.484871,0.157868,1,1,1,1
pdstl,3.804,-0.026224,-1.470565,0.154788,1,1,1,1
pdstl,3.9041,-0.088064,-1.452942,0.152551,1,1,1,1
pdstl,4.0042,-0.146681,-1.432601,0.154804,1,1,1,1
pdstl,4.1043,-0.198817,-1.412824,0.161557,1,1,1,1
pdstl,4.2043,-0.226564,-1.398331,0.172967,1,1,1,1
pdstl,4.3044,-0.243189,-1.387681,0.18333,1,1,1,1
pdstl,4.4045,-0.257426,-1.374872,0.191947,1,1,1,1
pdstl,4.5046,-0.286626,-1.354318,0.198807,1,1,1,1
pdstl,4.6046,-0.331772,-1.324049,0.199187,1,1,1,1
pdstl,4.7047,-0.379842,-1.285682,0.195908,1,1,1,1
pdstl,4.8048,-0.421304,-1.246114,0.189492,1,1,1,1
pdstl,4.9048,-0.481448,-1.204872,0.186919,1,1,1,1
pdstl,5.0049,-0.5257,-1.172547,0.192688,1,1,1,1
pdstl,5.105,-0.529404,-1.151733,0.187053,1,1,1,1
pdstl,5.205,-0.542317,-1.135972,0.196023,1,1,1,1
pdstl,5.3051,-0.554896,-1.114271,0.208324,1,1,1,1
pdstl,5.4052,-0.574856,-1.082546,0.220787,1,1,1,1
pdstl,5.5052,-0.59137,-1.045217,0.230412,1,1,1,1
pdstl,5.6053,-0.616242,-1.006837,0.237347,1,1,1,1
pdstl,5.7054,-0.639,-0.971676,0.241965,1,1,1,1
pdstl,5.8054,-0.661576,-0.917304,0.22135,1,1,1,1
pdstl,5.9055,-0.664794,-0.876369,0.212193,1,1,1,1
pdstl,6.0055,-0.648753,-0.836782,0.207777,1,1,1,1
pdstl,6.1056,-0.614752,-0.796769,0.206312,1,1,1,1
pdstl,6.2057,-0.573605,-0.762394,0.211669,1,1,1,1
pdstl,6.3057,-0.523404,-0.741129,0.219521,1,1,1,1
pdstl,6.4058,-0.483844,-0.725527,0.220135,1,1,1,1
pdstl,6.5059,-0.458642,-0.717907,0.23179,1,1,1,1
pdstl,6.6059,-0.440835,-0.697604,0.230382,1,1,1,1
pdstl,6.706,-0.421305,-0.663578,0.227803,1,1,1,1
pdstl,6.8061,-0.395396,-0.611469,0.216994,1,1,1,1
pdstl,6.9062,-0.358984,-0.557019,0.210769,1,1,1,1
pdstl,7.0062,-0.309618,-0.504365,0.212395,1,1,1,1
pdstl,7.1063,-0.234436,-0.460997,0.220046,1,1,1,1
pdstl,7.2064,-0.172409,-0.4455,0.238904,1,1,1,1
pdstl,7.3064,-0.110317,-0.452094,0.256632,1,1,1,1
pdstl,7.4065,-0.056406,-0.458834,0.261844,1,1,1,1
pdstl,7.5066,-0.015597,-0.452372,0.259999,1,1,1,1
pdstl,7.6066,-0.000397,-0.422766,0.245467,1,1,1,1
pdstl,7.7067,0.017788,-0.367847,0.240982,1,1,1,1
pdstl,7.8068,0.038228,-0.294262,0.247256,1,1,1,1
pdstl,7.9068,0.071846,-0.218376,0.272427,1,1,1,1
pdstl,8.0069,0.137113,-0.154553,0.303903,1,1,1,1
pdstl,8.1069,0.211867,-0.124991,0.334237,1,1,1,1
pdstl,8.207,0.27533,-0.120349,0.346955,1,1,1,1
pdstl,8.3071,0.338717,-0.143594,0.323508,1,1,1,1
pdstl,8.4072,0.356922,-0.153225,0.290287,1,1,1,1
pdstl,8.5072,0.337195,-0.134651,0.235009,1,1,1,1
pdstl,8.6073,0.285025,-0.074321,0.185048,1,1,1,1
pdstl,8.7074,0.22937,0.011147,0.158238,1,1,1,1
pdstl,8.8076,0.181282,0.111214,0.157414,1,1,1,1
pdstl,8.9077,0.146685,0.193086,0.181713,1,1,1,1
pdstl,9.0078,0.133433,0.220934,0.212591,1,1,1,1
pdstl,9.1078,0.13272,0.226177,0.222023,1,1,1,1
pdstl,9.2079,0.138801,0.201086,0.264413,1,1,1,1
pdstl,9.308,0.155417,0.194312,0.283502,1,1,1,1
pdstl,9.4084,0.187277,0.207701,0.297831,1,1,1,1
pdstl,9.5085,0.233757,0.153586,0.191802,1,1,1,1
pdstl,9.6086,0.28316,0.179066,0.153934,1,1,1,1
pdstl,9.7086,0.323913,0.237402,0.126771,1,1,1,1
pdstl,9.8087,0.342188,0.331532,0.112181,1,1,1,1
pdstl,9.9088,0.338068,0.428775,0.103719,1,1,1,1
pdstl,10.0089,0.312243,0.510886,0.101082,1,1,1,1
pdstl,10.109,0.218604,0.537263,0.122791,1,1,1,1
pdstl,10.2091,0.167534,0.515189,0.142476,1,1,1,1
pdstl,10.3092,0.112873,0.447642,0.160447,1,1,1,1
pdstl,10.4092,0.082636,0.387719,0.188139,1,1,1,1
pdstl,10.5093,0.076663,0.331733,0.193622,1,1,1,1
pdstl,10.6094,0.093207,0.306384,0.208334,1,1,1,1
pdstl,10.7094,0.105218,0.301789,0.216922,1,1,1,1
pdstl,10.8095,0.176034,0.322566,0.271927,1,1,1,1
pdstl,10.9096,0.215386,0.348067,0.314401,1,1,1,1
pdstl,11.0096,0.213492,0.429031,0.320731,1,1,1,1
pdstl,11.1097,0.196847,0.479216,0.380753,1,1,1,1
pdstl,11.2098,0.158461,0.528926,0.497862,1,1,1,1
pdstl,11.3098,0.124087,0.530972,0.583962,1,1,1,1
pdstl,11.4101,0.085914,0.516503,0.660108,1,1,1,1
pdstl,11.5102,0.087117,0.474259,0.696535,1,1,1,1
pdstl,11.6103,0.102592,0.4302,0.715232,1,1,1,1
pdstl,11.7103,0.131971,0.396765,0.714509,1,1,1,1
pdstl,11.8104,0.176241,0.374322,0.708898,1,1,1,1
pdstl,11.9105,0.206657,0.363524,0.699044,1,1,1,1
pdstl,12.0106,0.272913,0.38467,0.71106,1,1,1,1
pdstl,12.111,0.303057,0.41179,0.723594,1,1,1,1
pdstl,12.211,0.322034,0.440899,0.739796,1,1,1,1
pdstl,12.3111,0.329928,0.46917,0.758496,1,1,1,1
pdstl,12.4112,0.309843,0.483031,0.771106,1,1,1,1
pdstl,12.5113,0.35262,0.482868,0.774417,1,1,1,1
