condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,0.0014,0.014964,-1.502062,0.024104,1,1,1,1
pdstl,0.1015,0.003251,-1.501653,0.024141,1,1,1,1
pdstl,0.2016,0.01417,-1.50133,0.024321,1,1,1,1
pdstl,0.3016,0.010384,-1.498101,0.025056,1,1,1,1
pdstl,0.4017,0.014678,-1.496031,0.024783,1,1,1,1
pdstl,0.5018,0.015439,-1.49453,0.02233,1,1,1,1
pdstl,0.6018,0.015014,-1.493742,0.016383,1,1,1,1
pdstl,0.7019,0.014006,-1.500905,0.0245,1,1,1,1
pdstl,0.8021,0.01321,-1.502648,0.029111,1,1,1,1
pdstl,0.9022,0.014583,-1.503879,0.037785,1,1,1,1
pdstl,1.0023,0.015682,-1.49496,0.026791,1,1,1,1
pdstl,1.1024,0.017636,-1.493586,0.021039,1,1,1,1
pdstl,1.2024,0.016023,-1.49511,0.018655,1,1,1,1
pdstl,1.3025,0.012076,-1.502624,0.025295,1,1,1,1
pdstl,1.4026,0.013042,-1.506732,0.028646,1,1,1,1
pdstl,1.5027,0.015575,-1.510709,0.038561,1,1,1,1
pdstl,1.6028,0.017849,-1.498676,0.029865,1,1,1,1
pdstl,1.7028,0.022265,-1.496701,0.0297,1,1,1,1
pdstl,1.8029,0.028067,-1.496488,0.027596,1,1,1,1
pdstl,1.903,0.035418,-1.497892,0.028165,1,1,1,1
pdstl,2.003,0.038707,-1.501258,0.032348,1,1,1,1
pdstl,2.1031,0.055501,-1.506298,0.040104,1,1,1,1
pdstl,2.2032,0.066465,-1.509576,0.050434,1,1,1,1
pdstl,2.3032,0.065964,-1.510739,0.060958,1,1,1,1
pdstl,2.4033,0.072909,-1.513924,0.07185,1,1,1,1
pdstl,2.5034,0.060664,-1.51564,0.081001,1,1,1,1
pdstl,2.6035,0.06334,-1.518436,0.087745,1,1,1,1
pdstl,2.7035,0.05371,-1.517943,0.091479,1,1,1,1
pdstl,2.8036,0.041822,-1.516572,0.094943,1,1,1,1
pdstl,2.9037,0.041604,-1.515181,0.100663,1,1,1,1
pdstl,3.0038,0.031466,-1.505366,0.096862,1,1,1,1
pdstl,3.1039,0.031986,-1.499632,0.10114,1,1,1,1
pdstl,3.2039,0.051458,-1.495019,0.109605,1,1,1,1
pdstl,3.304,0.042714,-1.493082,0.11838,1,1,1,1
pdstl,3.404,0.049696,-1.493913,0.126315,1,1,1,1
pdstl,3.5041,0.04685,-1.49448,0.133331,1,1,1,1
pdstl,3.6042,0.023397,-1.490113,0.137653,1,1,1,1
pdstl,3.7042,-0.004635,-1.477676,0.140186,1,1,1,1
pdstl,3.8043,-0.047542,-1.450091,0.140214,1,1,1,1
