condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,0.0004,0.041055,-1.502975,0.220886,1,1,1,1
pdstl,0.1005,0.039248,-1.498308,0.2214,1,1,1,1
pdstl,0.2006,0.035827,-1.496863,0.221478,1,1,1,1
pdstl,0.3007,0.028336,-1.494969,0.222138,1,1,1,1
pdstl,0.4009,0.010962,-1.493591,0.22437,1,1,1,1
pdstl,0.501,0.007633,-1.490902,0.226894,1,1,1,1
pdstl,0.6011,-0.01603,-1.479176,0.228945,1,1,1,1
pdstl,0.7012,-0.053802,-1.46041,0.229262,1,1,1,1
pdstl,0.8013,-0.06939,-1.426373,0.228704,1,1,1,1
pdstl,0.9013,-0.115081,-1.386115,0.227687,1,1,1,1
pdstl,1.0014,-0.128387,-1.34659,0.224001,1,1,1,1
pdstl,1.1015,-0.154139,-1.314142,0.224942,1,1,1,1
pdstl,1.2016,-0.169355,-1.291211,0.227468,1,1,1,1
pdstl,1.3016,-0.181802,-1.272557,0.229678,1,1,1,1
pdstl,1.4017,-0.201102,-1.252176,0.234563,1,1,1,1
pdstl,1.5018,-0.229182,-1.222564,0.236895,1,1,1,1
pdstl,1.6019,-0.261257,-1.183519,0.236891,1,1,1,1
pdstl,1.702,-0.301339,-1.140071,0.234033,1,1,1,1
pdstl,1.8021,-0.323132,-1.0976,0.229037,1,1,1,1
pdstl,1.9022,-0.34284,-1.058217,0.225357,1,1,1,1
pdstl,2.0023,-0.355435,-1.020086,0.224004,1,1,1,1
pdstl,2.1023,-0.365985,-0.978475,0.221836,1,1,1,1
pdstl,2.2024,-0.374923,-0.934691,0.219571,1,1,1,1
pdstl,2.3025,-0.384265,-0.890885,0.219371,1,1,1,1
pdstl,2.4026,-0.396931,-0.853292,0.22281,1,1,1,1
pdstl,2.5026,-0.410824,-0.819909,0.230751,1,1,1,1
pdstl,2.6027,-0.408255,-0.784275,0.234603,1,1,1,1
pdstl,2.7028,-0.404374,-0.743621,0.236233,1,1,1,1
pdstl,2.803,-0.399858,-0.695695,0.234135,1,1,1,1
pdstl,2.9032,-0.395346,-0.648383,0.232027,1,1,1,1
pdstl,3.0033,-0.380382,-0.597435,0.228995,1,1,1,1
pdstl,3.1034,-0.364787,-0.558167,0.22628,1,1,1,1
pdstl,3.2035,-0.335855,-0.527488,0.224326,1,1,1,1
pdstl,3.3036,-0.300589,-0.495075,0.227495,1,1,1,1
pdstl,3.4038,-0.261551,-0.467343,0.233607,1,1,1,1
pdstl,3.5039,-0.22159,-0.44376,0.246102,1,1,1,1
pdstl,3.604,-0.180708,-0.420821,0.252781,1,1,1,1
pdstl,3.7041,-0.147905,-0.402495,0.254491,1,1,1,1
pdstl,3.8042,-0.120333,-0.386584,0.255978,1,1,1,1
pdstl,3.9043,-0.099762,-0.357895,0.251201,1,1,1,1
pdstl,4.0044,-0.082391,-0.312032,0.245298,1,1,1,1
pdstl,4.1045,-0.065426,-0.249309,0.243122,1,1,1,1
pdstl,4.2046,-0.036909,-0.186094,0.243585,1,1,1,1
pdstl,4.3046,-0.007675,-0.139398,0.245495,1,1,1,1
pdstl,4.4047,0.016422,-0.110884,0.249721,1,1,1,1
pdstl,4.5049,0.032044,-0.0912,0.25073,1,1,1,1
pdstl,4.605,0.051234,-0.112066,0.254365,1,1,1,1
pdstl,4.7051,0.066612,-0.115908,0.247108,1,1,1,1
pdstl,4.8052,0.081185,-0.099016,0.250751,1,1,1,1
pdstl,4.9053,0.096294,-0.063405,0.254679,1,1,1,1
pdstl,5.0055,0.104534,0.027749,0.218426,1,1,1,1
pdstl,5.1056,0.120791,0.10906,0.201519,1,1,1,1
pdstl,5.2059,0.134814,0.186918,0.192151,1,1,1,1
pdstl,5.306,0.141455,0.256459,0.209973,1,1,1,1
pdstl,5.4061,0.139292,0.28214,0.208116,1,1,1,1
pdstl,5.5061,0.133023,0.289453,0.200445,1,1,1,1
pdstl,5.6062,0.134534,0.287048,0.187305,1,1,1,1
pdstl,5.7063,0.149051,0.292779,0.173703,1,1,1,1
pdstl,5.8063,0.176994,0.316593,0.161629,1,1,1,1
pdstl,5.9064,0.2178,0.356956,0.161444,1,1,1,1
pdstl,6.0065,0.256175,0.420823,0.165947,1,1,1,1
