condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,0.0004,0.031626,-1.515519,0.227466,1,1,1,1
pdstl,0.1004,0.02986,-1.511096,0.225494,1,1,1,1
pdstl,0.2006,0.046433,-1.511154,0.220835,1,1,1,1
pdstl,0.3007,0.04399,-1.512441,0.220676,1,1,1,1
pdstl,0.4007,0.040314,-1.511889,0.220721,1,1,1,1
pdstl,0.5008,0.028148,-1.508094,0.224404,1,1,1,1
pdstl,0.6009,0.019505,-1.498249,0.228073,1,1,1,1
pdstl,0.7009,0.003806,-1.477678,0.235253,1,1,1,1
pdstl,0.801,-0.039526,-1.438703,0.226392,1,1,1,1
pdstl,0.9011,-0.069171,-1.392967,0.222749,1,1,1,1
pdstl,1.0012,-0.107074,-1.349092,0.219572,1,1,1,1
pdstl,1.1012,-0.138719,-1.314141,0.218638,1,1,1,1
pdstl,1.2013,-0.157864,-1.296471,0.225092,1,1,1,1
pdstl,1.3014,-0.171839,-1.287032,0.236557,1,1,1,1
pdstl,1.4014,-0.181665,-1.275499,0.247125,1,1,1,1
pdstl,1.5015,-0.207554,-1.259304,0.257178,1,1,1,1
pdstl,1.6016,-0.222016,-1.233494,0.257909,1,1,1,1
pdstl,1.7017,-0.256068,-1.194387,0.251784,1,1,1,1
pdstl,1.8017,-0.286695,-1.146281,0.242917,1,1,1,1
pdstl,1.9018,-0.311267,-1.09302,0.233794,1,1,1,1
pdstl,2.0019,-0.341389,-1.036309,0.230206,1,1,1,1
pdstl,2.1019,-0.358409,-0.981359,0.227482,1,1,1,1
pdstl,2.202,-0.37469,-0.929832,0.223212,1,1,1,1
pdstl,2.3021,-0.391556,-0.883466,0.221019,1,1,1,1
pdstl,2.4022,-0.406662,-0.844018,0.220636,1,1,1,1
pdstl,2.5023,-0.393106,-0.838388,0.250594,1,1,1,1
pdstl,2.6023,-0.390032,-0.812759,0.263065,1,1,1,1
pdstl,2.7024,-0.389778,-0.80215,0.248901,1,1,1,1
pdstl,2.8025,-0.390431,-0.767968,0.244944,1,1,1,1
pdstl,2.9026,-0.399881,-0.722804,0.240517,1,1,1,1
pdstl,3.0026,-0.417543,-0.666787,0.233401,1,1,1,1
pdstl,3.1027,-0.42197,-0.607658,0.23221,1,1,1,1
pdstl,3.2028,-0.419507,-0.549853,0.230619,1,1,1,1
pdstl,3.3029,-0.401106,-0.496817,0.231032,1,1,1,1
pdstl,3.4029,-0.366997,-0.451191,0.232905,1,1,1,1
pdstl,3.503,-0.321563,-0.414514,0.235374,1,1,1,1
pdstl,3.6031,-0.28085,-0.388238,0.234935,1,1,1,1
pdstl,3.7032,-0.245729,-0.369481,0.234837,1,1,1,1
pdstl,3.8033,-0.220232,-0.353959,0.230971,1,1,1,1
pdstl,3.9033,-0.199197,-0.33334,0.226424,1,1,1,1
pdstl,4.0034,-0.177451,-0.301085,0.220732,1,1,1,1
pdstl,4.1035,-0.151443,-0.254994,0.215925,1,1,1,1
pdstl,4.2036,-0.120638,-0.200972,0.213455,1,1,1,1
pdstl,4.3036,-0.084445,-0.145447,0.214544,1,1,1,1
pdstl,4.4037,-0.054308,-0.104133,0.218146,1,1,1,1
pdstl,4.5038,-0.027679,-0.072047,0.219271,1,1,1,1
pdstl,4.6039,-0.006541,-0.054627,0.219282,1,1,1,1
pdstl,4.7039,0.007012,-0.047467,0.210376,1,1,1,1
pdstl,4.804,0.020439,-0.037531,0.204355,1,1,1,1
pdstl,4.9041,0.039451,-0.016557,0.202075,1,1,1,1
pdstl,5.0042,0.069342,0.004619,0.209754,1,1,1,1
pdstl,5.1042,0.110659,0.061601,0.20531,1,1,1,1
pdstl,5.2043,0.147146,0.12031,0.206241,1,1,1,1
pdstl,5.3044,0.183638,0.207845,0.242905,1,1,1,1
pdstl,5.4044,0.216753,0.264569,0.25362,1,1,1,1
pdstl,5.5045,0.242537,0.303611,0.266648,1,1,1,1
pdstl,5.6046,0.27028,0.31716,0.253518,1,1,1,1
pdstl,5.7047,0.299693,0.330685,0.240492,1,1,1,1
pdstl,5.8047,0.331843,0.347175,0.224229,1,1,1,1
pdstl,5.9048,0.363163,0.368837,0.208558,1,1,1,1
pdstl,6.0049,0.395807,0.401855,0.199699,1,1,1,1
pdstl,6.1049,0.426395,0.447574,0.197995,1,1,1,1
pdstl,6.205,0.450729,0.492531,0.201882,1,1,1,1
pdstl,6.3051,0.470591,0.541731,0.214912,1,1,1,1
pdstl,6.4052,0.484917,0.58413,0.223993,1,1,1,1
pdstl,6.5052,0.499954,0.612146,0.230237,1,1,1,1
pdstl,6.6053,0.506999,0.63069,0.235343,1,1,1,1
pdstl,6.7054,0.516103,0.632631,0.240523,1,1,1,1
pdstl,6.8055,0.522395,0.629801,0.258233,1,1,1,1
pdstl,6.9055,0.529361,0.627213,0.296845,1,1,1,1
pdstl,7.0056,0.536026,0.626407,0.356553,1,1,1,1
pdstl,7.1057,0.535143,0.63279,0.432779,1,1,1,1
pdstl,7.2058,0.53537,0.643958,0.512693,1,1,1,1
pdstl,7.3059,0.538518,0.654405,0.580831,1,1,1,1
pdstl,7.406,0.541566,0.664859,0.635328,1,1,1,1
pdstl,7.5061,0.549645,0.666392,0.664188,1,1,1,1
pdstl,7.6062,0.557825,0.665121,0.679143,1,1,1,1
pdstl,7.7063,0.563692,0.660284,0.685096,1,1,1,1
pdstl,7.8064,0.574534,0.653731,0.684887,1,1,1,1
pdstl,7.9064,0.588828,0.647552,0.684425,1,1,1,1
pdstl,8.0065,0.576153,0.644919,0.684137,1,1,1,1
pdstl,8.1066,0.58078,0.646792,0.691249,1,1,1,1
pdstl,8.2066,0.573402,0.652635,0.695583,1,1,1,1
pdstl,8.3067,0.565876,0.659478,0.702855,1,1,1,1
pdstl,8.4068,0.561011,0.666414,0.70858,1,1,1,1
pdstl,8.5068,0.557532,0.668863,0.708332,1,1,1,1
pdstl,8.6069,0.550211,0.668475,0.708932,1,1,1,1
pdstl,8.707,0.533955,0.666086,0.706626,1,1,1,1
pdstl,8.8071,0.541827,0.657608,0.70001,1,1,1,1
pdstl,8.9071,0.537303,0.649319,0.693022,1,1,1,1
pdstl,9.0072,0.53778,0.641605,0.68918,1,1,1,1
pdstl,9.1073,0.551988,0.636973,0.696709,1,1,1,1
pdstl,9.2073,0.534966,0.628939,0.693214,1,1,1,1
pdstl,9.3074,0.528592,0.620079,0.698087,1,1,1,1
pdstl,9.4075,0.517044,0.60541,0.691543,1,1,1,1
pdstl,9.5076,0.496149,0.5823,0.687907,1,1,1,1
pdstl,9.6076,0.504556,0.550382,0.686874,1,1,1,1
pdstl,9.7077,0.514085,0.511012,0.686431,1,1,1,1
pdstl,9.8078,0.50159,0.462426,0.684344,1,1,1,1
pdstl,9.9078,0.495692,0.405384,0.681733,1,1,1,1
pdstl,10.0079,0.480903,0.342585,0.677886,1,1,1,1
pdstl,10.108,0.471233,0.274645,0.677031,1,1,1,1
pdstl,10.2081,0.436894,0.201922,0.676198,1,1,1,1
pdstl,10.3082,0.418083,0.120786,0.676535,1,1,1,1
pdstl,10.4083,0.406119,0.033909,0.683491,1,1,0,0
