condition,t,x,y,z,outside_obs1,outside_obs2,outside_obs3,safe
pdstl,0.0004,0.020477,-1.502693,0.231204,1,1,1,1
pdstl,0.1005,0.036622,-1.502753,0.233699,1,1,1,1
pdstl,0.2006,0.047274,-1.500994,0.232659,1,1,1,1
pdstl,0.3007,0.050032,-1.498881,0.231711,1,1,1,1
pdstl,0.4009,0.044262,-1.494503,0.230337,1,1,1,1
pdstl,0.501,0.032822,-1.487422,0.229786,1,1,1,1
pdstl,0.6011,0.009468,-1.473641,0.22907,1,1,1,1
pdstl,0.7012,-0.021363,-1.445129,0.226351,1,1,1,1
pdstl,0.8013,-0.055225,-1.409376,0.224697,1,1,1,1
pdstl,0.9015,-0.07542,-1.372985,0.224831,1,1,1,1
pdstl,1.0016,-0.10436,-1.332769,0.222175,1,1,1,1
pdstl,1.1017,-0.126933,-1.30158,0.220205,1,1,1,1
pdstl,1.2018,-0.144025,-1.282846,0.217243,1,1,1,1
pdstl,1.3019,-0.161148,-1.281443,0.232407,1,1,1,1
pdstl,1.4021,-0.185474,-1.270034,0.241624,1,1,1,1
pdstl,1.5022,-0.212073,-1.245672,0.247592,1,1,1,1
pdstl,1.6023,-0.229773,-1.20913,0.253378,1,1,1,1
pdstl,1.7024,-0.272237,-1.16178,0.253741,1,1,1,1
pdstl,1.8025,-0.297048,-1.11295,0.250535,1,1,1,1
pdstl,1.9027,-0.322561,-1.065376,0.243403,1,1,1,1
pdstl,2.0029,-0.338602,-1.018971,0.236025,1,1,1,1
pdstl,2.1029,-0.35236,-0.971976,0.22847,1,1,1,1
pdstl,2.203,-0.365489,-0.927158,0.222639,1,1,1,1
pdstl,2.3031,-0.377808,-0.886613,0.221078,1,1,1,1
pdstl,2.4032,-0.389476,-0.853835,0.224412,1,1,1,1
pdstl,2.5033,-0.400881,-0.842361,0.24681,1,1,1,1
pdstl,2.6034,-0.408042,-0.818464,0.256043,1,1,1,1
pdstl,2.7035,-0.408844,-0.790478,0.261052,1,1,1,1
pdstl,2.8035,-0.405636,-0.753573,0.257653,1,1,1,1
pdstl,2.9037,-0.392222,-0.705892,0.250054,1,1,1,1
pdstl,3.0037,-0.378784,-0.654841,0.241191,1,1,1,1
pdstl,3.1038,-0.355198,-0.596746,0.231425,1,1,1,1
pdstl,3.2038,-0.327753,-0.537444,0.226544,1,1,1,1
pdstl,3.304,-0.293731,-0.480953,0.225672,1,1,1,1
pdstl,3.404,-0.238549,-0.431763,0.22444,1,1,1,1
pdstl,3.5041,-0.196966,-0.393287,0.220435,1,1,1,1
pdstl,3.6042,-0.15938,-0.367633,0.215341,1,1,1,1
pdstl,3.7043,-0.132726,-0.346577,0.214213,1,1,1,1
pdstl,3.8044,-0.115889,-0.353885,0.237629,1,1,1,1
pdstl,3.9045,-0.103335,-0.342051,0.252345,1,1,1,1
pdstl,4.0045,-0.07713,-0.305977,0.280144,1,1,1,1
pdstl,4.1046,-0.047313,-0.266871,0.300339,1,1,1,1
pdstl,4.2047,-0.015494,-0.220005,0.318492,1,1,1,1
pdstl,4.3047,0.009123,-0.170192,0.321835,1,1,1,1
pdstl,4.4048,0.048191,-0.065126,0.267233,1,1,1,1
pdstl,4.5049,0.06719,-0.016213,0.247733,1,1,1,1
pdstl,4.605,0.074541,0.022215,0.231591,1,1,1,1
pdstl,4.705,0.068612,0.012693,0.189763,1,1,1,1
pdstl,4.8051,0.054537,0.008236,0.175016,1,1,1,1
pdstl,4.9053,0.043497,0.006783,0.158832,1,1,1,1
pdstl,5.0056,0.042305,0.03177,0.148427,1,1,1,1
pdstl,5.1056,0.054617,0.077667,0.143679,1,1,1,1
pdstl,5.2059,0.077614,0.11799,0.125558,1,1,1,1
pdstl,5.306,0.106319,0.163539,0.125739,1,1,1,1
pdstl,5.4062,0.129508,0.203406,0.136681,1,1,1,1
pdstl,5.5063,0.147035,0.248401,0.156645,1,1,1,1
pdstl,5.6064,0.162353,0.301282,0.184416,1,1,1,1
pdstl,5.7065,0.18471,0.365798,0.22569,1,1,1,1
pdstl,5.8066,0.213018,0.431889,0.271076,1,1,1,1
pdstl,5.9066,0.251427,0.417218,0.204139,1,1,1,1
pdstl,6.0067,0.286075,0.43973,0.195677,1,1,1,1
pdstl,6.1068,0.323975,0.450716,0.173343,1,1,1,1
pdstl,6.2069,0.356244,0.47326,0.165395,1,1,1,1
pdstl,6.307,0.388565,0.504104,0.16445,1,1,1,1
pdstl,6.4071,0.419326,0.54066,0.169835,1,1,1,1
pdstl,6.5072,0.442989,0.596294,0.194226,1,1,1,1
pdstl,6.6073,0.448525,0.654032,0.254618,1,1,1,1
pdstl,6.7073,0.465467,0.644055,0.228534,1,1,1,1
pdstl,6.8074,0.474181,0.649165,0.255777,1,1,1,1
pdstl,6.9075,0.476714,0.644128,0.298948,1,1,1,1
pdstl,7.0076,0.478627,0.63791,0.359503,1,1,1,1
pdstl,7.1077,0.490688,0.631716,0.431473,1,1,1,1
pdstl,7.2078,0.502305,0.635523,0.507291,1,1,1,1
pdstl,7.3078,0.512766,0.659804,0.59314,1,1,1,1
pdstl,7.4078,0.53378,0.671672,0.644736,1,1,1,1
pdstl,7.5079,0.54307,0.68327,0.683323,1,1,1,1
pdstl,7.608,0.545675,0.687133,0.701276,1,1,1,1
pdstl,7.708,0.535457,0.685898,0.706882,1,1,1,1
pdstl,7.8081,0.525058,0.676297,0.708978,1,1,1,1
pdstl,7.9082,0.502238,0.665809,0.697619,1,1,1,1
pdstl,8.0082,0.509796,0.654362,0.691952,1,1,1,1
pdstl,8.1083,0.478861,0.642289,0.68767,1,1,1,1
pdstl,8.2084,0.498312,0.636481,0.696787,1,1,1,1
pdstl,8.3084,0.468648,0.64793,0.684487,1,1,1,1
pdstl,8.4085,0.478241,0.65932,0.690534,1,1,1,1
pdstl,8.5086,0.465323,0.668914,0.693493,1,1,1,1
pdstl,8.6087,0.464754,0.679458,0.707201,1,1,1,1
pdstl,8.7088,0.478358,0.682133,0.715321,1,1,1,1
pdstl,8.809,0.474332,0.676473,0.718451,1,1,1,1
pdstl,8.9092,0.485094,0.666236,0.716566,1,1,1,1
pdstl,9.0094,0.495254,0.654731,0.714591,1,1,1,1
pdstl,9.1097,0.512412,0.62874,0.698897,1,1,1,1
pdstl,9.2099,0.520873,0.604281,0.689015,1,1,1,1
pdstl,9.31,0.521232,0.580912,0.681119,1,1,1,1
pdstl,9.4101,0.530849,0.558143,0.681782,1,1,1,1
pdstl,9.5101,0.514987,0.533412,0.683494,1,1,1,1
pdstl,9.6102,0.512087,0.507697,0.689466,1,1,1,1
pdstl,9.7103,0.507485,0.475552,0.690067,1,1,1,1
pdstl,9.8104,0.499173,0.434871,0.689481,1,1,1,1
pdstl,9.9105,0.512552,0.383594,0.689151,1,1,1,1
pdstl,10.0105,0.509536,0.320412,0.686785,1,1,1,1
pdstl,10.1106,0.507529,0.250711,0.684446,1,1,1,1
pdstl,10.2107,0.501994,0.175286,0.685089,1,1,1,1
pdstl,10.3108,0.496204,0.101057,0.696644,1,1,1,1
